City-State,Final-Score
Auburn-Alabama,29
Birmingham-Alabama,100
Florence-Alabama,0
Hoover-Alabama,12
Huntsville-Alabama,20
Mobile-Alabama,19
Montgomery-Alabama,40
Tuscaloosa-Alabama,24
Anchorage-Alaska,86
Fairbanks-Alaska,64
Homer-Alaska,37
Juneau-Alaska,100
Ketchikan-Alaska,38
Sitka-Alaska,38
Wasilla-Alaska,42
Avondale-Arizona,55
Chandler-Arizona,66
Flagstaff-Arizona,88
Gilbert-Arizona,73
Glendale-Arizona,94
Mesa-Arizona,87
Peoria-Arizona,55
Phoenix-Arizona,100
Scottsdale-Arizona,100
Tempe-Arizona,100
Tucson-Arizona,100
Conway-Arkansas,28
Eureka-Springs-Arkansas,61
Fayetteville-Arkansas,44
Fort-Smith-Arkansas,28
Jonesboro-Arkansas,0
Little-Rock-Arkansas,60
North-Little-Rock-Arkansas,3
Springdale-Arkansas,7
Anaheim-California,81
Bakersfield-California,58
Berkeley-California,100
Brisbane-California,63
Cathedral-City-California,100
Chula-Vista-California,100
Concord-California,81
Corona-California,59
Dublin-California,95
Elk-Grove-California,82
Escondido-California,60
Fontana-California,59
Fremont-California,90
Fresno-California,55
Fullerton-California,79
Garden-Grove-California,53
Glendale-California,70
Guerneville-California,94
Hayward-California,79
Huntington-Beach-California,59
Irvine-California,97
Laguna-Beach-California,94
Lancaster-California,77
Long-Beach-California,100
Los-Angeles-California,100
Modesto-California,60
Oakland-California,100
Oceanside-California,100
Ontario-California,52
Orange-California,71
Oxnard-California,58
Palm-Desert-California,96
Palm-Springs-California,100
Palmdale-California,83
Pasadena-California,95
Pomona-California,74
Rancho-Cucamonga-California,69
Rancho-Mirage-California,100
Richmond-California,84
Riverside-California,100
Sacramento-California,100
Salinas-California,59
San-Bernardino-California,53
San-Diego-California,100
San-Francisco-California,100
San-Jose-California,97
Santa-Ana-California,85
Santa-Clarita-California,74
Santa-Monica-California,100
Santa-Rosa-California,80
Signal-Hill-California,86
Stockton-California,77
Aspen-Colorado,67
Aurora-Colorado,74
Boulder-Colorado,100
Colorado-Springs-Colorado,77
Denver-Colorado,100
Fort-Collins-Colorado,100
Lakewood-Colorado,58
Littleton-Colorado,51
Bridgeport-Connecticut,42
Fairfield-Connecticut,46
Hartford-Connecticut,72
New-Britain-Connecticut,85
New-Haven-Connecticut,73
Norwalk-Connecticut,100
Stamford-Connecticut,100
Storrs-(Mansfield)-Connecticut,61
Waterbury-Connecticut,67
Bethany-Beach-Delaware,49
Dover-Delaware,54
Middletown-Delaware,30
Milford-Delaware,74
Newark-Delaware,61
Rehoboth-Beach-Delaware,58
Smyrna-Delaware,43
Wilmington-Delaware,88
Cape-Coral-Florida,69
Coral-Gables-Florida,95
Daytona-Beach-Florida,30
Fort-Lauderdale-Florida,100
Gainesville-Florida,96
Hialeah-Florida,44
Hollywood-Florida,100
Jacksonville-Florida,85
Miami-Florida,89
Miami-Beach-Florida,100
Miami-Shores-Florida,98
Oakland-Park-Florida,100
Orlando-Florida,100
Pembroke-Pines-Florida,77
Port-Saint-Lucie-Florida,73
St.-Petersburg-Florida,100
Tallahassee-Florida,100
Tampa-Florida,100
Wellington-Florida,100
West-Palm-Beach-Florida,100
Wilton-Manors-Florida,100
Athens-Clarke-Georgia,68
Atlanta-Georgia,100
Augusta-Richmond-Georgia,28
Avondale-Estates-Georgia,18
Columbus-Georgia,58
Decatur-Georgia,86
North-Druid-Hills-Georgia,7
Roswell-Georgia,5
Sandy-Springs-Georgia,33
Savannah-Georgia,80
Hilo-Hawaii,52
Honolulu-Hawaii,60
Kalaupapa-Hawaii,35
Kapaa-Hawaii,32
Kahului-Hawaii,77
Boise-Idaho,77
Coeur-D’alene-Idaho,66
Idaho-Falls-Idaho,58
Meridian-Idaho,54
Moscow-Idaho,69
Nampa-Idaho,18
Pocatello-Idaho,61
Aurora-Illinois,83
Carbondale-Illinois,49
Champaign-Illinois,94
Chicago-Illinois,100
Joliet-Illinois,65
Naperville-Illinois,70
Peoria-Illinois,74
Rockford-Illinois,89
Springfield-Illinois,70
Bloomington-Indiana,100
Evansville-Indiana,94
Fort-Wayne-Indiana,40
Hammond-Indiana,71
Indianapolis-Indiana,90
Muncie-Indiana,69
South-Bend-Indiana,70
Terre-Haute-Indiana,90
West-Lafayette-Indiana,85
Ames-Iowa,94
Cedar-Rapids-Iowa,97
Davenport-Iowa,98
Des-Moines-Iowa,96
Dubuque-Iowa,100
Iowa-City-Iowa,100
Sioux-City-Iowa,79
Waterloo-Iowa,71
West-Des-Moines-Iowa,100
Emporia-Kansas,63
Hutchinson-Kansas,61
Kansas-City-Kansas,68
Lawrence-Kansas,86
Manhattan-Kansas,81
Olathe-Kansas,71
Overland-Park-Kansas,93
Topeka-Kansas,93
Wichita-Kansas,72
Berea-Kentucky,35
Bowling-Green-Kentucky,20
Covington-Kentucky,96
Frankfort-Kentucky,66
Lexington-Kentucky,100
Louisville-Kentucky,100
Morehead-Kentucky,55
Owensboro-Kentucky,18
Alexandria-Louisiana,28
Baton-Rouge-Louisiana,53
Lafayette-Louisiana,14
Lake-Charles-Louisiana,12
Metairie-Louisiana,26
Monroe-Louisiana,12
New-Orleans-Louisiana,100
Shreveport-Louisiana,77
Auburn-Maine,49
Augusta-Maine,52
Bangor-Maine,58
Brunswick-Maine,39
Lewiston-Maine,56
Orono-Maine,32
Portland-Maine,96
Scarborough-Maine,61
South-Portland-Maine,71
Annapolis-Maryland,79
Baltimore-Maryland,95
Bowie-Maryland,60
College-Park-Maryland,100
Columbia-Maryland,100
Frederick-Maryland,100
Gaithersburg-Maryland,100
