City-State,PercentageMales,MedianAge,Latitude,Longitude,PercentageHighSchoolGrads,PercentagePHDs,PercentageBelowPovertyLevel,Population,PercentageNoReligion,PercentageEvangelicals
Auburn-Alabama,50.8,25.2,32.6,85.48,94.2,26.5,26.1,66.0,59.36027152095945,21.45500438512054
Birmingham-Alabama,47.1,36.7,33.52,86.81,88.4,11.9,25.2,209.0,16.13021780927185,46.92482223835399
Florence-Alabama,47.5,35.0,34.82,87.66,86.6,10.8,21.6,40.0,41.685273274439375,44.184491257590956
Hoover-Alabama,47.5,36.9,33.39,86.8,96.0,25.0,5.2,85.0,16.13021780927185,46.92482223835399
Huntsville-Alabama,48.0,35.8,34.71,86.6,91.4,18.1,17.5,200.0,49.574536081550484,31.511210802512462
Mobile-Alabama,46.6,37.5,30.68,88.1,90.8,12.0,17.6,188.0,38.707529443669614,36.14743142724314
Montgomery-Alabama,47.2,35.6,32.36,86.28,89.1,14.7,16.1,198.0,30.26120167594599,30.473092870253705
Tuscaloosa-Alabama,49.3,31.0,33.21,87.53,88.9,15.5,20.1,101.0,46.410590991287194,36.88712395199737
Anchorage-Alaska,50.2,34.2,61.19,149.76,95.1,14.1,10.1,288.0,64.77215875213312,15.309807899227623
Fairbanks-Alaska,54.4,28.9,64.84,147.73,92.3,9.4,11.0,30.0,71.1993113413472,14.333733001301482
Homer-Alaska,47.7,41.9,59.64,151.53,93.7,16.2,10.3,5.0,67.79241877256318,17.487364620938628
Juneau-Alaska,51.0,38.9,58.35,134.51,96.4,13.9,7.7,31.0,71.32214228617106,9.167066346922462
Ketchikan-Alaska,50.9,38.9,55.35,131.66,91.2,7.1,11.0,8.0,68.49447206351562,14.224233879943608
Sitka-Alaska,51.2,40.3,57.08,135.33,94.7,13.2,8.7,8.0,67.40231955860827,10.449273730435761
Wasilla-Alaska,49.3,37.6,61.58,149.45,92.2,5.7,11.9,10.0,70.04775549188157,16.94027754368223
Avondale-Arizona,48.4,29.5,33.45,112.32,83.4,5.4,10.1,87.0,60.92653172538331,14.001483318431163
Chandler-Arizona,49.0,37.8,33.3,111.86,92.4,16.1,6.7,261.0,60.92653172538331,14.001483318431163
Flagstaff-Arizona,51.7,25.8,35.2,111.63,97.0,24.6,16.6,75.0,70.31044256477782,8.023299930814382
Gilbert-Arizona,48.9,34.8,33.34,111.76,96.9,16.1,4.6,254.0,60.92653172538331,14.001483318431163
Glendale-Arizona,49.9,35.7,33.58,112.2,81.8,7.1,18.9,252.0,60.92653172538331,14.001483318431163
Mesa-Arizona,49.6,35.9,33.41,111.75,90.5,9.5,11.6,518.0,60.92653172538331,14.001483318431163
Peoria-Arizona,47.0,42.5,33.65,112.25,93.0,12.4,8.8,175.0,60.92653172538331,14.001483318431163
Phoenix-Arizona,49.9,34.4,33.53,112.08,82.2,10.4,15.6,1.0,60.92653172538331,14.001483318431163
Scottsdale-Arizona,48.4,50.1,33.59,111.9,97.0,25.4,6.0,258.0,60.92653172538331,14.001483318431163
Tempe-Arizona,52.6,30.0,33.39,111.93,95.6,20.2,17.2,195.0,60.92653172538331,14.001483318431163
Tucson-Arizona,50.1,34.5,32.21,110.92,84.4,10.7,19.1,548.0,60.15905935447936,10.025676782659348
Conway-Arkansas,46.1,28.7,35.09,92.45,94.0,15.1,21.0,67.0,52.36892535125445,35.189911424711006
