City-State,PercentageMales,MedianAge,Latitude,Longitude,PercentageHighSchoolGrads,PercentagePHDs,PercentageBelowPovertyLevel,Population,PercentageNoReligion,PercentageEvangelicals,FinalScore
Auburn-Alabama,50.8,25.2,32.6,85.48,94.2,26.5,26.1,66259.0,59.36027152095945,21.45500438512054,29
Birmingham-Alabama,47.1,36.7,33.52,86.81,88.4,11.9,25.2,209403.0,16.13021780927185,46.92482223835399,100
Florence-Alabama,47.5,35.0,34.82,87.66,86.6,10.8,21.6,40797.0,41.685273274439375,44.184491257590956,0
Hoover-Alabama,47.5,36.9,33.39,86.8,96.0,25.0,5.2,85768.0,16.13021780927185,46.92482223835399,12
Huntsville-Alabama,48.0,35.8,34.71,86.6,91.4,18.1,17.5,200574.0,49.574536081550484,31.511210802512462,20
Mobile-Alabama,46.6,37.5,30.68,88.1,90.8,12.0,17.6,188720.0,38.707529443669614,36.14743142724314,19
Montgomery-Alabama,47.2,35.6,32.36,86.28,89.1,14.7,16.1,198525.0,30.26120167594599,30.473092870253705,40
Tuscaloosa-Alabama,49.3,31.0,33.21,87.53,88.9,15.5,20.1,101129.0,46.410590991287194,36.88712395199737,24
Anchorage-Alaska,50.2,34.2,61.19,149.76,95.1,14.1,10.1,288000.0,64.77215875213312,15.309807899227623,86
Fairbanks-Alaska,54.4,28.9,64.84,147.73,92.3,9.4,11.0,30917.0,71.1993113413472,14.333733001301482,64
Homer-Alaska,47.7,41.9,59.64,151.53,93.7,16.2,10.3,5922.0,67.79241877256318,17.487364620938628,37
Juneau-Alaska,51.0,38.9,58.35,134.51,96.4,13.9,7.7,31974.0,71.32214228617106,9.167066346922462,100
Ketchikan-Alaska,50.9,38.9,55.35,131.66,91.2,7.1,11.0,8284.0,68.49447206351562,14.224233879943608,38
Sitka-Alaska,51.2,40.3,57.08,135.33,94.7,13.2,8.7,8493.0,67.40231955860827,10.449273730435761,38
Wasilla-Alaska,49.3,37.6,61.58,149.45,92.2,5.7,11.9,10838.0,70.04775549188157,16.94027754368223,42
Avondale-Arizona,48.4,29.5,33.45,112.32,83.4,5.4,10.1,87931.0,60.92653172538331,14.001483318431163,55
Chandler-Arizona,49.0,37.8,33.3,111.86,92.4,16.1,6.7,261165.0,60.92653172538331,14.001483318431163,66
Flagstaff-Arizona,51.7,25.8,35.2,111.63,97.0,24.6,16.6,75038.0,70.31044256477782,8.023299930814382,88
Gilbert-Arizona,48.9,34.8,33.34,111.76,96.9,16.1,4.6,254114.0,60.92653172538331,14.001483318431163,73
